编号,名称,数量,附加
1001,取宝石,1,
1002,取宝石,2,
1003,取宝石,3,
1004,取宝石,4,
1005,取宝石,5,
1006,取宝石,6,
1007,取宝石,7,
1008,取宝石,8,
1009,取宝石,9,
1010,取宝石,10,
1011,取宝石,11,
1012,取宝石,12,
1013,取宝石,13,
1014,取宝石,14,
1015,取宝石,15,
1016,取宝石,16,
1017,取宝石,17,
1018,取宝石,18,
1019,星辉石,1,
1020,星辉石,2,
1021,星辉石,3,
1022,星辉石,4,
1023,星辉石,5,
1024,星辉石,6,
1025,星辉石,7,
1026,星辉石,8,
1027,珍珠,100,
1028,珍珠,110,
1029,珍珠,120,
1030,珍珠,130,
1031,珍珠,140,
1032,珍珠,150,
1033,珍珠,160,
1034,炼妖石,6,
1035,炼妖石,7,
1036,炼妖石,8,
1037,炼妖石,9,
1038,炼妖石,10,
1039,炼妖石,11,
1040,炼妖石,12,
1041,炼妖石,13,
1042,炼妖石,14,
1043,炼妖石,15,
1044,上古锻造图策,6,
1045,上古锻造图策,7,
1046,上古锻造图策,8,
1047,上古锻造图策,9,
1048,上古锻造图策,10,
1049,上古锻造图策,11,
1050,上古锻造图策,12,
1051,上古锻造图策,13,
1052,上古锻造图策,14,
1053,上古锻造图策,15,
1054,灵饰指南书,6,
1055,灵饰指南书,8,
1056,灵饰指南书,10,
1057,灵饰指南书,12,
1058,灵饰指南书,14,
1059,灵饰指南书,16,
1060,元灵晶石,6,
1061,元灵晶石,8,
1062,元灵晶石,10,
1063,元灵晶石,12,
1064,元灵晶石,14,
1065,元灵晶石,16,
1066,制造指南书,1,
1067,制造指南书,2,
1068,制造指南书,3,
1069,制造指南书,4,
1070,制造指南书,5,
1071,制造指南书,6,
1072,制造指南书,7,
1073,制造指南书,8,
1074,制造指南书,9,
1075,制造指南书,10,
1076,制造指南书,11,
1077,制造指南书,12,
1078,制造指南书,13,
1079,制造指南书,14,
1080,制造指南书,15,
1081,百炼精铁,1,
1082,百炼精铁,2,
1083,百炼精铁,3,
1084,百炼精铁,4,
1085,百炼精铁,5,
1086,百炼精铁,6,
1087,百炼精铁,7,
1088,百炼精铁,8,
1089,百炼精铁,9,
1090,百炼精铁,10,
1091,百炼精铁,11,
1092,百炼精铁,12,
1093,百炼精铁,13,
1094,百炼精铁,14,
1095,百炼精铁,15,
1096,月华露,300,
1097,月华露,500,
1098,月华露,1000,
1099,月华露,2000,
1100,藏宝图,假,
1101,圣兽丹,假,
1102,取五宝,假,
1103,高级魔兽要诀,假,
1104,附魔宝珠,假,
1105,特赦令牌,假,
1106,三界悬赏令,假,
1107,彩果,2,
1108,超级金柳露,假,
1109,魔兽要诀,假,
1110,高级召唤兽内丹,1,
1111,召唤兽内丹,1,
1112,知了,假,
1113,蟋蟀,假,
1114,小螃蟹,假,
1115,树苗,假,
1116,炼兽真经,假,
1117,九转金丹,100,
1118,九转金丹,200,
1119,九转金丹,300,
1120,九转金丹,500,
1121,九转金丹,1000,
1122,九转金丹,2000,
1123,修炼果,1,
1124,修炼果,2,
1125,修炼果,3,
1126,修炼果,5,
1127,修炼果,10,
1128,修炼果,20,
1129,陨铁,1,
1130,天外陨铁,1,
1131,金银锦盒,1,
1132,金银锦盒,2,
1133,金银锦盒,3,
1134,金银锦盒,5,
1135,金银锦盒,10,
1136,金银锦盒,20,
1137,取掉落法宝材料,假,
1138,取强化石,1,
1139,取强化石,2,
1140,取强化石,3,
1141,取强化石,5,
1142,取强化石,10,
1143,鬼谷子,假,
1144,炼兽真经,假,
1145,玉葫灵髓,假,
1146,易经丹,假,
1147,如意丹,假,
1154,怪物卡片,7,
1155,怪物卡片,8,
1156,神兜兜,1,
1157,灵兜兜,1,
1158,玲珑宝图,假,
1159,天蚕丝,假,
1160,玄龟板,假,
1161,阴沉木,假,
1162,麒麟血,假,
1163,内丹,假,
1164,金凤羽,假,
1165,补天石,假,
1166,龙之筋,假,
1167,高级魔兽要诀,假,高级夜战
1168,高级魔兽要诀,假,高级反震
1169,高级魔兽要诀,假,高级吸血
1170,高级魔兽要诀,假,高级反击
1171,高级魔兽要诀,假,高级连击
1172,高级魔兽要诀,假,高级飞行
1173,高级魔兽要诀,假,高级驱鬼
1174,高级魔兽要诀,假,高级隐身
1175,高级魔兽要诀,假,高级感知
1176,高级魔兽要诀,假,高级再生
1177,高级魔兽要诀,假,高级冥思
1178,高级魔兽要诀,假,高级慧根
1179,高级魔兽要诀,假,高级必杀
1180,高级魔兽要诀,假,高级幸运
1181,高级魔兽要诀,假,高级神迹
1182,高级魔兽要诀,假,高级招架
1183,高级魔兽要诀,假,高级永恒
1184,高级魔兽要诀,假,高级敏捷
1185,高级魔兽要诀,假,高级强力
1186,高级魔兽要诀,假,高级防御
1187,高级魔兽要诀,假,高级偷袭
1188,高级魔兽要诀,假,高级毒
1189,高级魔兽要诀,假,高级驱鬼
1190,高级魔兽要诀,假,高级鬼魂术
1191,高级魔兽要诀,假,高级魔之心
1192,高级魔兽要诀,假,高级神佑复生
1193,高级魔兽要诀,假,高级精神集中
1194,高级魔兽要诀,假,高级否定信仰
1195,高级魔兽要诀,假,奔雷咒
1196,高级魔兽要诀,假,泰山压顶
1197,高级魔兽要诀,假,水漫金山
1198,高级魔兽要诀,假,地狱烈火
1199,高级魔兽要诀,假,高级法术连击
1200,高级魔兽要诀,假,高级法术暴击
1201,高级魔兽要诀,假,高级法术波动
1202,高级魔兽要诀,假,高级雷属性吸收
1203,高级魔兽要诀,假,高级土属性吸收
1204,高级魔兽要诀,假,高级火属性吸收
1205,高级魔兽要诀,假,高级水属性吸收
1206,高级魔兽要诀,假,嗜血追击
1207,高级魔兽要诀,假,死亡召唤
1208,高级魔兽要诀,假,剑荡四方
1209,高级魔兽要诀,假,善恶有报
1210,高级魔兽要诀,假,壁垒击破
1211,高级魔兽要诀,假,力劈华山
1212,高级魔兽要诀,假,观照万象
1213,高级魔兽要诀,假,龙魂
1214,高级魔兽要诀,假,八凶法阵
1215,高级魔兽要诀,假,出其不意
1216,高级魔兽要诀,假,流沙轻音
1217,高级魔兽要诀,假,食指大动
1218,高级魔兽要诀,假,从天而降
1219,高级魔兽要诀,假,大快朵颐
1220,高级魔兽要诀,假,苍鸾怒击
1221,高级魔兽要诀,假,须弥真言
1222,高级魔兽要诀,假,浮云神马
1223,高级魔兽要诀,假,千钧一怒
1224,高级魔兽要诀,假,势如破竹
1225,高级魔兽要诀,假,乘胜追击
1226,高级魔兽要诀,假,凭风借力
1227,高级魔兽要诀,假,顾盼生姿
1228,高级魔兽要诀,假,拘魂索命
1229,高级魔兽要诀,假,溜之大吉
1230,高级魔兽要诀,假,神出鬼没
1231,高级魔兽要诀,假,昼伏夜出
1232,高级魔兽要诀,假,凝光炼彩
1233,高级魔兽要诀,假,净台妙谛
1234,高级魔兽要诀,假,津津有味
1235,高级魔兽要诀,假,灵山禅语
1236,琉璃护腕,假,
1237,镂空银镯,假,
1238,笼玉镯,假,
1239,嵌宝金腕,假,
1240,玳瑁护腕,假,
1241,七星宝腕,假,
1242,琉璃环,假,
1243,九曲环,假,
1244,笼玉环,假,
1245,嵌宝金环,假,
1246,玳瑁环,假,
1247,七星宝环,假,
1248,琉璃罩甲,假,
1249,连环铠甲,假,
1250,笼玉甲,假,
1251,嵌宝金甲,假,
1252,玳瑁衣,假,
1253,七星宝甲,假,
1254,七彩礼盒,假,
1255,雪人眼睛,假,
1256,雪人鼻子,假,
1257,雪人帽子,假,
1258,小雪块,假,
1259,大雪块,假,
1260,年糕,假,
1261,饺子,假,
1262,杂烩粥,假,
1263,红烧鲤鱼,假,
1264,什锦年糕,假,
1265,油焖对虾,假,
1266,果蔬羹,假,
1267,白粥,假,
1268,果蔬篮,假,
1269,烤肉,假,
1270,药膳粥,假,
1271,红烧鲫鱼,假,
1272,苹果果脯,假,
1273,大乱炖,假,
1274,神奇的年糕,假,
1275,神奇的饺子,假,
1276,新春导标旗,假,
1277,茴香,假,
1278,韭菜,假,
1279,蘑菇,假,
1280,猪肉,假,
1281,虾仁,假,
1282,鸡蛋,假,
1283,吉庆鱼,假,
1284,羊肉,假,
1285,福钱,假,
1286,面粉,假,
1287,清水,假,
1288,酵母,假,
1289,食盒,假,
1290,年兽角,假,
1291,汤圆,假,
1292,巧克力,假,
1293,可可豆,假,
1294,牛奶,假,
1295,果仁,假,
1296,星辰碎片,假,
1297,雄黄酒,假,
1298,粽子,假,
1299,梦幻精品粽子,假,
1300,粽叶,假,
1301,糯米,假,
1302,豆沙,假,
1303,鲜肉,假,
1304,知了,假,
1305,蟋蟀,假,
1306,小螃蟹,假,
1307,梦幻瓜子,假,
1308,梦幻西瓜,假,
1309,同心锁,假,
1310,喜鹊羽毛,假,
1311,七彩羽毛,假,
1312,黄蓝羽毛,假,
1313,粉色羽毛,假,
1314,蓝色羽毛,假,
1315,白色羽毛,假,
1316,寿桃,假,
1317,三千年蟠桃,假,
1318,六千年蟠桃,假,
1319,九千年蟠桃,假,
1320,修炼石,假,
1321,梦,假,
1322,幻,假,
1323,西,假,
1324,游,假,
1325,急就章,假,
1326,诗经,假,
1327,道德经,假,
1328,论语,假,
1329,千字文,假,
1330,奇异果,假,
1331,蚩尤武决,假,
1332,还魂秘术,假,
1333,黄帝内经,假,
1334,逍遥镜,假,
1335,千年人参,假,
1336,孤儿手册,假,
1337,瑶池蟠桃,假,
1338,玉灵果,假,
1339,糖葫芦,假,
1340,红木短剑,假,
1341,弹弓,假,
1342,竹马,假,
1343,投掷沙包,假,
1344,猴皮筋,假,
1345,百兽图谱,假,
1346,山海经,假,
1347,列异传,假,
1348,搜神记,假,
1349,启蒙棋谱,假,
1350,冰符石,假,
1351,土符石,假,
1352,雷符石,假,
1353,电符石,假,
1354,风符石,假,
1355,炎符石,假,
1356,火符石,假,
1357,红云符石,假,
1358,碧玉符石,假,
1359,金光符石,假,
1360,天神符石,假,
1361,飘渺符石,假,
1362,天仙符石,假,
1363,霞光符石,假,
1364,逍遥符石,假,
1365,虹珀符石,假,
1366,陌影符石,假,
1367,北冥符石,假,
1368,灵月符石,假,
1369,锦瑟符石,假,
1370,银光符石,假,
1371,清心符石,假,
1372,星辰符石,假,
1373,雪月符石,假,
1374,玄魂符石,假,
1375,乾坤符石,假,
1376,珍珀符石,假,
1377,银竹符石,假,
1378,神川符石,假,
1379,玲珑符石,假,
1380,暮影符石,假,
1381,天珍符石,假,
1382,九影符石,假,
1383,百冥符石,假,
1384,莫念符石,假,
1385,醉魂符石,假,
1386,玄羽符石,假,
1387,霸风符石,假,
1388,无相符石,假,
1389,无极符石,假,
1390,紫晶符石,假,
1391,圣火符石,假,
1392,昔光符石,假,
1393,子蚀符石,假,
1394,流风符石,假,
1395,地炎符石,假,
1396,素影符石,假,
1397,燕灵符石,假,
1398,降龙符石,假,
1399,苍玉符石,假,
1400,流魂符石,假,
1401,九凤符石,假,
1402,墨陀符石,假,
1403,南夕符石,假,
1404,引幽符石,假,
1405,波涛符石,假,
1406,铃星符石,假,
1407,狂念符石,假,
1408,乱花符石,假,
1409,幽月符石,假,
1410,两仪符石,假,
1411,七情符石,假,
1412,召影符石,假,
1413,云荒(白),假,
1414,云荒(黑),假,
1415,暮霭(蓝),假,
1416,暮霭(红),假,
1417,落日(金),假,
1418,落日(红),假,
1419,晓天(黑),假,
1420,晓天(白),假,
1421,林海(绿),假,
1422,林海(蓝),假,
1423,流霞(红),假,
1424,流霞(蓝),假,
1425,召唤兽内丹,假,迅敏
1426,召唤兽内丹,假,狂怒
1427,召唤兽内丹,假,阴伤
1428,召唤兽内丹,假,静岳
1429,召唤兽内丹,假,擅咒
1430,召唤兽内丹,假,灵身
1431,召唤兽内丹,假,矫健
1432,召唤兽内丹,假,深思
1433,召唤兽内丹,假,钢化
1434,召唤兽内丹,假,坚甲
1435,召唤兽内丹,假,慧心
1436,召唤兽内丹,假,撞击
1437,召唤兽内丹,假,无畏
1438,召唤兽内丹,假,愤恨
1439,召唤兽内丹,假,淬毒
1440,召唤兽内丹,假,狙刺
1441,召唤兽内丹,假,连环
1442,召唤兽内丹,假,圣洁
1443,召唤兽内丹,假,灵光
1444,高级召唤兽内丹,假,神机步
1445,高级召唤兽内丹,假,腾挪劲
1446,高级召唤兽内丹,假,玄武躯
1447,高级召唤兽内丹,假,龙胄铠
1448,高级召唤兽内丹,假,玉砥柱
1449,高级召唤兽内丹,假,碎甲刃
1450,高级召唤兽内丹,假,阴阳护
1451,高级召唤兽内丹,假,凛冽气
1452,高级召唤兽内丹,假,舍身击
1453,高级召唤兽内丹,假,电魂闪
1454,高级召唤兽内丹,假,通灵法
1455,高级召唤兽内丹,假,双星爆
1456,高级召唤兽内丹,假,催心浪
1457,高级召唤兽内丹,假,隐匿击
1458,高级召唤兽内丹,假,生死决
1459,高级召唤兽内丹,假,血债偿
1460,月饼,1,
1461,世界积分,1,
1462,元宵积分,1,
1463,世界积分,2,
1464,元宵积分,2,
1465,世界积分,3,
1466,元宵积分,3,
1467,世界积分,5,
1468,元宵积分,5,
1469,天之痕,1,
1470,地心火,1,
1471,天淬火,1,
1472,三昧火,1,
1473,真元火,1,
1474,神魔石,1,
1475,悔梦石,1,
1476,冰火玄晶,1,
1477,破天石,1,
1478,云龙珠（150）,1,
1479,云龙珠（165）,1,
1480,圣珠之青龙 ,1,
1481,超级神兽蛋,1,
1482,现金10元卷,1,
1483,现金30元卷,1,
